,,-0.05,-0.1,-0.2,-0.3,-0.4,-0.5,-0.6,-0.7,-0.8,-0.9,-1
1a,12.65,0.01,0.01,0.01,,,,,,,,
1b,12.41,0.02,0.01,0,,,,,,,,
1c,12.17,0.02,0.04,0.01,0.02,,,,,,,
2,8.56,0.34,0.31,0.29,0.27,0.26,0.2,,,,,
3,6.19,0.53,0.48,0.43,0.45,0.35,0.26,0.15,,,,
4,3.75,0.41,0.4,0.32,0.28,0.22,0.14,0.03,,,,
4b,0.47,0.03,-0.05,-0.03,-0.02,,,,,,,
5a,0.24,-0.06,-0.05,-0.02,-0.02,,,,,,,
5b,0,-0.07,-0.1,-0.04,,,,,,,,
