,location,-0.05,-0.1,-0.2,-0.3,-0.4,-0.5,-0.6,-0.7,-0.8,-0.9,-1,d_Sontek,td_Sontek,d_streamPro,td_streamPro
1a,12.65,-0.02,0.01,0.02,,,,,,,,,0,0.12,0.05,0.24
1b,12.41,0.02,0.02,0,,,,,,,,,0.095,0.215,0.1,0.29
1c,12.17,0.04,0.04,0.01,0.01,,,,,,,,0.43,0.55,0.44,0.63
2,8.58,0.33,0.36,0.35,0.23,0.21,0.15,,,,,,0.48,0.6,0.4775,0.6675
3,6.2,0.51,0.53,0.5,0.48,0.39,0.28,0.09,,,,,0.44,0.56,0.49,0.68
4,5.65,0.34,0.41,0.37,0.29,0.27,0.22,,,,,,0.44,0.56,0.49,0.68
4b,0.48,-0.05,-0.08,-0.04,-0.04,,,,,,,,0.185,0.305,0.2,0.39
5a,0.24,-0.07,-0.04,-0.06,,,,,,,,,0.145,0.265,0.15,0.34
5b,0,-0.07,-0.06,-0.06,,,,,,,,,0.14,0.26,0.15,0.34
