Mon morning,Mon afternoon,Tue morning,Tue afternoon,Wed morning,Wed afternoon,Thur morning
1.103869941,0.702256354,0.385504905,0.229087905,0,-0.199630175,0.536200331
0.311366258,1.201397386,0.255479708,-0.023745027,0,-0.46275002,-0.685113991
0.068110924,0.408415449,1.118353085,0.477434063,0,-0.128321906,0.378357634
0.645183267,1.27261783,0.404033317,0.211353266,0,-0.381583588,0.346061075
,0.03830248,0.690742207,,0,-0.051020049,
,,0.850574795,,0,-0.248168652,
