Mon morning,Mon afternoon,Tue morning,Tue afternoon,Wed morning,Wed afternoon
1.9513426,1.4554584,0.59452066,2.81831504,2.68205837,0.1295025
0.69010472,1.95082941,0.69124884,0.21709001,1.42432897,0.14143674
0.51379947,0.42445703,0.66602113,0.46150783,1.68070461,1.12996724
0.28747508,0.32723396,0.43243845,1.40335332,1.35308734,0.30950761
,,0.20515937,,1.40156164,-0.61457615
,,0.26462883,,1.9424371,
,,0.33639084,,,
,,0.45056263,,,
