,,-0.05,-0.1,-0.2,-0.3,-0.4,-0.5,-0.6,-0.7,-0.8,-0.9,-1
1a,11.63,0.05,0.07,0.05,0.04,,,,,,,
1b,11.39,0.04,0.06,0.05,0.05,0.01,,,,,,
1c,11.15,0.06,0.08,0.06,0.04,0.03,,,,,,
2,7.82,0.32,0.29,0.26,0.25,0.24,0.14,0.07,,,,
3,5.82,0.44,0.47,0.4,0.41,0.35,0.33,0.3,0.2,,,
4,3.82,0.47,0.43,0.42,0.36,0.3,0.28,0.28,0.16,,,
4b,0.97,0.1,0.09,0.09,0.19,0,,,,,,
5a,0.73,0.18,0.16,0.08,0.06,0,,,,,,
5b,0.49,0.1,0.12,0.1,0.05,,,,,,,
5c,0.24,0.07,0.07,0.07,,,,,,,,
5d,0,0.04,0.08,0.01,0,,,,,,,
