,Left side(m3/s),Top(m3/s),Middle(m3/s),Right side(m3/s)
Mon morning,-0.0016625000000000001,0.521549353555875,0.9721952929675,0.00013990317191338943
Mon afternoon,-0.0018375000000000002,0.6422845399300001,1.0230307947,0.0003833897566522424
Tue morning,0.0125510625,0.60676638331875,1.144000269146289,0.00255989262061456
Tue afternoon,0.009212510416666667,0.5815193190025,1.128538465959375,0.001524548689676821
Wed morning,0.04902583333333333,0.42820524485475003,1.052579265851317,0.00083202955548197
Wed afternoon,0.035410000000000004,0.6237929734206,1.479520351932,0.014771559215847534
